,id,name,intro to computer science,machine learning,web design,social psy,cognitive psy,industrial psy,intro to sociology,criminology,urban sociology,absence,sociology reviews,cs reviews,psy reviews
0,4003,Kristina Stone,41,70,43,77,26,89,76,69,87,8,"SOC 101 is excellent with Noorin Manji! Her syllabus was divided so anyone could get an A with minimum effort. While I do not think I will ever take a sociology course ever again, this course was the best 101 course to take as an elective. The textbook I did find was unnecessary until the final assignment.",go to office hours and practice,"Really easy, the course was made up of 3 online quizzes (most of the questions were easily googlable) and the final project could be done in one day."
1,4005,Elizabeth Lozano,48,43,68,100,58,95,73,70,86,1,.,"One of my least favourite courses. Although things were nicely organized, Racket was such an annoying language to use. The one tangible benefit I felt after using Racket was feeling more comfortable with recursion.",Surprisingly useful and as bird as expected. I now casually plug in Freud into daily small talk
2,4013,Samantha White,64,66,81,78,39,90,71,80,81,1,"Took during Spring 2022. Classic introductory course, online with recorded lectures. Covers many different sociology concepts at a basic level. Assignments weren't too difficult, but probably very boring for people who don't like sociology.","It starts with a very low pace but after midterm, it gets really fast and I cannot understand the content while reaching the end of term. Racket is restricted by so many things so I feel I lose the freedom of coding. The assignments are extremely hard after midterm, I spent a whole day on them but I can just solve the easiest one. The only positive impression that I have is that the design recipe weighs half so I pass this course successfully.",Had this class online. The content is interesting but the modules plus textbook readings are long. 2 quizzes are due every other week but I wouldn't recommend trying to do 2 quizzes in one week unless you have the time to do so. Making notes can easily take up to 2 days even if you don't work on anything else. The quizzes need a lot of theoretical application which can be difficult especially trying to understand the star wars based questions. The article summary and concept map assignment are pretty easy but the rubrics are kind of vague. Overall the course is interesting but quite heavy in terms of workload.
3,4021,Diana Smith,41,42,54,98,23,94,72,80,90,7,Took this course with Prof Manji. Very good breakdown of marks/assignments so that you can do well.,"Took this in 2018 with no programming experience ever. Started out pretty slow, but I didn't really pay attention and was severely behind. Went to a lot of office hours, but nonetheless caught up and did decently well. After taking more cs courses, racket really is a weird language.","Took online. Really fun and interesting concepts, and course modules were organized well. Quizzes were very ctrl-F-able. Written assignments and infographic took longer if you wanted a good mark, but overall a good interesting bird course."
4,4025,Amy Stanley,49,62,49,91,58,100,89,60,93,1,The content is what you would expect. Interesting if you like soc but probably boring if you don't. Assignments and lectures were straightforward.,"I loved everything about cs 115. Great instructors, fair assignments ( can get tricky but there's a huge amount of office hours to attend ), good engagement and interesting topics! It's seriously well structured and I would recommend it to anyone even with no background in coding.","Took the online version. Real interesting stuff if you actually read the weekly modules, but quizzes are totally control-F-able."
5,4027,Shawn Huffman,49,28,50,87,39,91,73,70,83,3,"Took this course with Ed and it was relatively easy. Theres weekly online quizzes but youre allowed unlimited tries to get 100%, one major group assignment that's spread out throughout the term, and one major paper at the end of the course. There is a textbook and I recommend getting it as well as going to class (although its not the end of the world if you miss a few classes since he uploads recorded lectures to learn)","I recommend finding a course with a language that is actually useful. Racket is dumb and never used anywhere. The majority of the course was quite easy, except a couple of concept checks that were RIDICULOUSLY HARD. i wish i had realized sooner that you get 10% of concept checks dropped from your grade. if you understand everything and are getting most things easily but you get stumped on one particular concept check, its probably not your fault and you should skip it, at least for now. the course was very well structured and predictable. expectations were clear and reasonable. it actually was designed to be a correspondence course, so it wasnt an online course that was rushed and slapped together for covid.","Not super fond of the course but some information is really interesting. The key to performing well is doing the lectures and readings, and keeping track of your quizzes."
6,4030,Ashley Lang DDS,83,53,45,72,76,93,72,91,87,1,"I took this course with the hope that it would be a light and fairly easy course to manage, and I was unfortunately wrong. The lecture material was more time consuming than expected because the prof wants you to do the readings and take notes, watch her lecture video, and then watch/listen to additional videos/podcasts that she links. The midterm and final (35% each) had some multiple choice, with a focus on short answer questions that could be fairly vague in my opinion. The assignment (30%) also had pretty vague instructions, and the TA's seemed to refuse to give anything above a 90% even if it was perfect. I wouldn't recommend taking this course if you're hoping it will be an easy mark booster, but its not bad.","I really enjoyed this course online, being co-taught by 4 professors. There were lots of office hours available to help and all of the TA's and Profs in office hours were helpful and kind. While the programming language used is not useful elsewhere, I think it is easy to understand and helped get the point of the course across. In my opinion, the point of this course is to teach you to think about solving problems and the process to go through, as you are not creating ground-breaking programs. As a student with no prior programming experience, I found this course both useful and easy if you kept up with the content and got help as soon as you needed it. The course was organized well, and the built in questions made sure you were on the right track. The assignments are fair based on what you learn. Go in with an open mind and keep up with the content and you should be just fine.",Heavy on readings but some of the readings and modules are pretty engaging.
7,4031,Laura James,65,61,38,77,17,87,78,69,90,8,"Not as birdy as I thought it would be, but pretty low maintenance course. Did not like the spread of marks this term (1 midterm, 1 final, 1 written assignment). For a class about sociology, it was a pretty anti-social class, barely interacted with the TAs, prof and students. Really enjoyed the content, as the subject is something really interesting to me. Textbook did the best job teaching cause the TAs gave very vague and minimal feedback.","math student who took this course since I had 0 prior programming experience. the course isn't horribly hard, but if you fall behind or don't understand one lesson, everything following will be super challenging. the course was mostly online completing modules, and my biggest criticism is that solutions for lessons are never posted after they are due which makes it super challenging to do the next week's module if you didn't understand/didnt know how to write a specific code for the week. the racket language used in this course is easy to follow but not very useful and isn't used anywhere. this makes it difficult to find help outside of cs115 profs/ta's/past cs115 students. the course is oddly paced, felt the super easy and simple first half of the course, and then gets unreasonably fast. didn't find any of the profs/ta's answers to questions posted on discussion boards useful at all. because the course was only offered online, I had to essentially had to teach the whole course to myself",Pretty interesting course but requires a lot of application-based knowledge that is not sufficiently provided in course materials
8,4035,Theresa Reeves,83,48,48,74,40,88,72,82,87,9,Easiest course I have taken in uni so far. I took it online in Fall 2021. The content was pretty straightforward. Anyone can easily get an 85+,"The only way to do bad in this course is by not managing ur time properly. This is a mistake I made when we had to work with modules. As long as u properly manage ur time and do assignments and concept checks well before the due date, you will have a great time in this course. Also try finding connections between assignments and try finding some real world applications of racket. Trust me Racket is very useful. The only criticism I have of this course is how the course is taught because it wasn't taught. (this is when I did online.) I had to understand all concepts by myself by basically reading texts. Although There was plenty of opportunity like office hours to ask for help, I only realized that towards the end of the term. Very unfortunate :(","Tested material was mainly focused on textbook content which wasn't taught in lectures, but ended up doing fairly well in the course"
9,4039,Andrea Powell,91,27,47,86,60,90,89,64,96,4,impossible to stay awake,"Can be difficult at times, but a very rewarding and fun course. Definitely made me like CS as a non-CS student! Start assignments early and definitely go to office hours. TAs and ISAs are very helpful.","Very science-based. 4 tests, each worth 10% and a final of 60%. With sona only being 2%. Ridiculous."
